,Linear,Ridge,RF,XGB,NN
ix_vix_change_3m__price_returns_3m,0.1663642874135401,0.02739376468865676,0.023488503156281242,0.0032424035,0.0
ix_vix_change_3m__price_returns_6m,0.08472014913452902,0.2327858423685564,0.1449698551000786,0.051135585,0.0
ix_vix_change_3m__price_returns_12m,0.05347344007790715,0.34800375232351066,0.029750962887774523,0.023555433,0.09531880300909347
ix_vix_change_3m__price_momentum,0.1664337618312387,0.027405204438619202,0.02747435522311279,0.00056005025,0.04125205752150431
ix_vix_change_3m__price_volatility,0.019581079687415234,0.024080829333692624,0.050091441121525956,0.062178284,0.09030046959404085
ix_tnx_change_3m__rev_yoy,0.1339678781812486,0.057111808126703856,0.03343011532208472,0.0021760408,0.04194837105039705
ix_tnx_change_3m__rev_qoq,0.18431867121022927,0.06755079149832546,0.026015880399390574,0.01973193,0.11608823734902937
ix_tnx_change_3m__rev_accel,0.2800280555975145,0.3055776544229274,0.05650238467339429,0.033516575,0.0
ix_tnx_change_3m__revenue,0.06921647449694375,0.4851055946837564,0.059398919059399334,0.038197663,0.149561983866627
ix_tnx_change_3m__price_returns_1m,0.11433204490156673,0.08477093164274606,0.06965325567618766,0.087103136,0.17041886425944883
ix_tnx_change_3m__price_returns_3m,0.11433204490156673,0.08477093164274606,0.05555323975123466,0.0040704855,0.36445986449685386
ix_tnx_change_3m__price_returns_6m,0.10917522028872667,0.22944050057149773,0.48448660087712747,0.8033737,0.18900447206681031
ix_tnx_change_3m__price_returns_12m,0.06724157646621642,0.2563492902237784,0.03990367100055549,0.03655244,0.06475212703913713
ix_tnx_change_3m__price_momentum,0.11433082520481053,0.08477002730458989,0.05664908439558858,0.03472059,0.25747230825783735
ix_tnx_change_3m__price_volatility,0.151566435709508,0.4466400896289702,0.04238434669548803,0.043893732,0.05343871011810318
